key_resp.keys,key_resp.corr,tilt,hit,miss,fa,cr,,,,,,,
up,0,3,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,1,-2,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,Respond YES,Respond NO,,prop hit = hit/hit+miss,0.448979592
down,0,0,,1,,,,Signal present ,Hit,Miss,,prop fa= fa/fa+cr,0.882352941
up,0,-4,,,1,,,Signal absent,False alarm,Correct rejection,,,
down,0,0,,1,,,,,,,,,
down,0,0,,1,,,,,Respond YES,Respond NO,,d-prime = z(prop hit)-z(prop fa),-1.315071258
up,1,0,1,,,,,Signal Present,22,27,,c = -z(prop hit) + z(prop fa)/2,0.721655542
down,0,0,,1,,,,Signal Absent,45,6,,,
up,1,0,1,,,,,,,,,,
down,1,-4,,,,1,,,,,,,
up,1,0,1,,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,3,,,1,,,,,,,,
up,0,2,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,-2,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,-4,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,1,4,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,
down,1,1,,,1,,,,,,,,
up,1,0,1,,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
up,1,0,1,,,,,,,,,,
up,1,0,1,,,,,,,,,,
up,0,-3,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
down,0,0,,1,,,,,,,,,
down,0,0,,1,,,,,,,,,
down,1,3,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,
down,1,-4,,,,1,,,,,,,
up,0,-3,,,1,,,,,,,,
up,0,2,,,1,,,,,,,,
down,1,4,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,
up,0,1,,,1,,,,,,,,
down,1,-3,,,1,,,,,,,,
down,1,3,,,1,,,,,,,,
up,1,0,1,,,,,,,,,,
up,0,3,,,1,,,,,,,,
down,1,-2,,,1,,,,,,,,
up,0,-2,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
down,1,-2,,,1,,,,,,,,
up,0,-4,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,-3,,,1,,,,,,,,
up,0,-4,,,1,,,,,,,,
down,1,3,,,1,,,,,,,,
up,0,-5,,,1,,,,,,,,
up,1,0,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,1,1,,,1,,,,,,,,
up,0,-5,,,1,,,,,,,,
down,1,1,,,1,,,,,,,,
up,0,-2,,,1,,,,,,,,
down,1,-5,,,1,,,,,,,,
up,0,-2,,,1,,,,,,,,
down,1,-5,,,,1,,,,,,,
up,1,0,1,,,,,,,,,,
up,0,2,,,1,,,,,,,,
up,1,0,1,,,,,,,,,,
up,1,0,1,,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,1,-5,,,,1,,,,,,,
down,1,-3,,,1,,,,,,,,
up,0,-2,,,1,,,,,,,,
down,1,2,,,1,,,,,,,,
up,1,0,1,,,,,,,,,,
down,1,-5,,,,1,,,,,,,
down,0,0,,1,,,,,,,,,
down,0,0,,1,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,1,0,1,,,,,,,,,,
up,1,0,1,,,,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,-5,,,1,,,,,,,,
up,0,-3,,,1,,,,,,,,
down,1,-5,,,,1,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,3,,,1,,,,,,,,
down,0,0,,1,,,,,,,,,
up,0,-4,,,1,,,,,,,,
